_id,title,text
nzh87aux,The Waiting Time for Inter-Country Spread of Pandemic Influenza,"BACKGROUND: The time delay between the start of an influenza pandemic and its subsequent initiation in other countries is highly relevant to preparedness planning. We quantify the distribution of this random time in terms of the separate components of this delay, and assess how the delay may be extended by non-pharmaceutical interventions. METHODS AND FINDINGS: The model constructed for this time delay accounts for: (i) epidemic growth in the source region, (ii) the delay until an infected individual from the source region seeks to travel to an at-risk country, (iii) the chance that infected travelers are detected by screening at exit and entry borders, (iv) the possibility of in-flight transmission, (v) the chance that an infected arrival might not initiate an epidemic, and (vi) the delay until infection in the at-risk country gathers momentum. Efforts that reduce the disease reproduction number in the source region below two and severe travel restrictions are most effective for delaying a local epidemic, and under favourable circumstances, could add several months to the delay. On the other hand, the model predicts that border screening for symptomatic infection, wearing a protective mask during travel, promoting early presentation of cases arising among arriving passengers and moderate reduction in travel volumes increase the delay only by a matter of days or weeks. Elevated in-flight transmission reduces the delay only minimally. CONCLUSIONS: The delay until an epidemic of pandemic strain influenza is imported into an at-risk country is largely determined by the course of the epidemic in the source region and the number of travelers attempting to enter the at-risk country, and is little affected by non-pharmaceutical interventions targeting these travelers. Short of preventing international travel altogether, eradicating a nascent pandemic in the source region appears to be the only reliable method of preventing country-to-country spread of a pandemic strain of influenza."
om92cx5q,On the possible role of robustness in the evolution of infectious diseases,"Robustness describes the capacity for a biological system to remain canalized despite perturbation. Genetic robustness affords maintenance of phenotype despite mutational input, necessarily involving the role of epistasis. Environmental robustness is phenotypic constancy in the face of environmental variation, where epistasis may be uninvolved. Here we discuss genetic and environmental robustness, from the standpoint of infectious disease evolution, and suggest that robustness may be a unifying principle for understanding how different disease agents evolve. We focus especially on viruses with RNA genomes due to their importance in the evolution of emerging diseases and as model systems to test robustness theory. We present new data on adaptive constraints for a model RNA virus challenged to evolve in response to UV radiation. We also draw attention to other infectious disease systems where robustness theory may prove useful for bridging evolutionary biology and biomedicine, especially the evolution of antibiotic resistance in bacteria, immune evasion by influenza, and malaria parasite infections."
5hx84kki,Humoral immune response to HTLV-1 basic leucine zipper factor (HBZ) in HTLV-1-infected individuals,"BACKGROUND: Human T cell lymphotropic virus type 1 (HTLV-1) infection can lead to development of adult T cell leukemia/lymphoma (ATL) or HTLV-1-associated myelopathy/tropical spastic paraparesis (HAM/TSP) in a subset of infected subjects. HTLV-1 basic leucine zipper factor (HBZ) gene has a critical role in HTLV-1 infectivity and the development of ATL and HAM/TSP. However, little is known about the immune response against HBZ in HTLV-1-infected individuals. In this study, we examined antibody responses against HBZ in serum/plasma samples from 436 subjects including HTLV-1 seronegative donors, asymptomatic carriers (AC), ATL, and HAM/TSP patients using the luciferase immunoprecipitation system. RESULTS: Immunoreactivity against HBZ was detected in subsets of all HTLV-1-infected individuals but the test did not discriminate between AC, ATL and HAM/TSP. However, the frequency of detection of HBZ-specific antibodies in the serum of ATL patients with the chronic subtype was higher than in ATL patients with the lymphomatous subtype. Antibody responses against HBZ were also detected in cerebrospinal fluid of HAM/TSP patients with anti-HBZ in serum. Antibody responses against HBZ did not correlate with proviral load and HBZ mRNA expression in HAM/TSP patients, but the presence of an HBZ-specific response was associated with reduced CD4(+) T cell activation in HAM/TSP patients. Moreover, HBZ-specific antibody inhibited lymphoproliferation in the PBMC of HAM/TSP patients. CONCLUSIONS: This is the first report demonstrating humoral immune response against HBZ associated with HTLV-I infection. Thus, a humoral immune response against HBZ might play a role in HTLV-1 infection."
iwtevhmq,"Hospital-based surveillance of influenza A(H1N1)pdm09 virus in Saudi Arabia, 2010-2016","BACKGROUND: Influenza is a highly contagious acute viral respiratory tract infection. The emergence of influenza A(H1N1)pdm09 in 2009 caused a pandemic. Since then it has become a seasonal influenza virus. It causes symptoms ranging from mild to severe illness, which might be fatal, particularly in people with underlying chronic medical conditions, immunocompromised people, the elderly, and pregnant women. OBJECTIVE: Describe the data generated by the influenza A(H1N1) pdm09 surveillance in Saudi Arabia from 2010 to 2016. DESIGN: Retrospective, descriptive. SETTING: Hospitals reporting to the Ministry of Health. MATERIALS AND METHODS: We studied aggregate data on hospitalized cases of influenza A(H1N1)pdm09 in Saudi Arabia between 2010 and 2016. The surveillance system used the case definition proposed by the WHO. The cases were confirmed by performing the real-time PCR (polymerase chain reaction) on upper respiratory samples. MAIN OUTCOME MEASURES: Suspected and confirmed influenza A(H1N1)pdm09 cases. SAMPLE SIZE: 113 502 suspected H1N1 cases and 17 094 (15.1%) confirmed cases. RESULTS: Most of the reported cases were registered in the Riyadh region. During the period of the study, the highest number of confirmed cases, 9262 (54.2 %), was in 2015. The case fatality rate for confirmed cases was 3.6%. CONCLUSION: Influenza A(H1N1)pdm09 showed seasonal trends. The number of suspected influenza cases each year was proportionate to the number of confirmed cases for that year. Riyadh, Jeddah and the Eastern areas (regions with the highest population) reported most of the cases. LIMITATION: Only one strain of H1N1 was tested. CONFLICT OF INTEREST: None."
2ikxxaec,N-95 Face Mask for Prevention of Bird Flu Virus: An Appraisal of Nanostructure and Implication for Infectious Control,
zjv6gmul,Acute kidney injury in critically ill patients with 2009 influenza A (H1N1) viral pneumonia: an observational study,"OBJECTIVE: To describe the incidence, risk factors, and impact on mortality of acute kidney injury (AKI) in patients with 2009 influenza A (H1N1) viral pneumonia requiring mechanical ventilation. DESIGN: Observational cohort study. PATIENTS AND METHODS: AKI was defined as risk, injury or failure, according to the RIFLE classification. Early and late AKI were defined as AKI occurring on intensive care unit (ICU) day 2 or before, or after ICU day 2, respectively. Demographic data and information on organ dysfunction were collected daily. RESULTS: Of 84 patients, AKI developed in 43 patients (51%). Twenty (24%) needed renal replacement therapy. Early and late AKI were found in 28 (33%) and 15 (18%) patients, respectively. Patients with AKI, as compared with patients without AKI, had higher Acute Physiology and Chronic Health Evaluation (APACHE) II score and ICU mortality (72% versus 39%, p < 0.01) and presented on admission more marked cardiovascular, respiratory, and hematological dysfunction. Patients with early but not late AKI presented on admission higher APACHE II score and more marked organ dysfunction, as compared with patients without AKI. ICU mortality was higher in late versus early AKI (93% versus 61%, p < 0.001). On multivariate analysis, only APACHE II score and late but not early AKI [odds ratio (OR) 1.1 (95% confidence interval 1.0–1.1) and 15.1 (1.8–130.7), respectively] were associated with mortality. CONCLUSIONS: AKI is a frequent complication of 2009 influenza A (H1N1) viral pneumonia. AKI developing after 2 days in ICU appears to be associated with different risk factors than early AKI, and is related to a higher mortality rate."
h1kuzit7,Computer simulations of protein–membrane systems,"The interactions between proteins and membranes play critical roles in signal transduction, cell motility, and transport, and they are involved in many types of diseases. Molecular dynamics (MD) simulations have greatly contributed to our understanding of protein–membrane interactions, promoted by a dramatic development of MD-related software, increasingly accurate force fields, and available computer power. In this chapter, we present available methods for studying protein–membrane systems with MD simulations, including an overview about the various all-atom and coarse-grained force fields for lipids, and useful software for membrane simulation setup and analysis. A large set of case studies is discussed."
esfbdz2v,Poster Presentations,
8r8j0h08,"Diagnosis and treatment of community‐acquired pneumonia in adults: 2016 clinical practice guidelines by the Chinese Thoracic Society, Chinese Medical Association","Community‐acquired pneumonia (CAP) in adults is an infectious disease with high morbidity in China and the rest of the world. With the changing pattern in the etiological profile of CAP and advances in medical techniques in diagnosis and treatment over time, Chinese Thoracic Society of Chinese Medical Association updated its CAP guideline in 2016 to address the standard management of CAP in Chinese adults. Extensive and comprehensive literature search was made to collect the data and evidence for experts to review and evaluate the level of evidence. Corresponding recommendations are provided appropriately based on the level of evidence. This updated guideline covers comprehensive topics on CAP, including aetiology, antimicrobial resistance profile, diagnosis, empirical and targeted treatments, adjunctive and supportive therapies, as well as prophylaxis. The recommendations may help clinicians manage CAP patients more effectively and efficiently. CAP in pediatric patients and immunocompromised adults is beyond the scope of this guideline. This guideline is only applicable for the immunocompetent CAP patients aged 18 years and older. The recommendations on selection of antimicrobial agents and the dosing regimens are not mandatory. The clinicians are recommended to prescribe and adjust antimicrobial therapies primarily based on their local etiological profile and results of susceptibility testing, with reference to this guideline."
tr7bmni3,Determining Urgent/Emergent Status of Gastrointestinal Endoscopic Procedures in an Ambulatory Care Setting During the COVID-19 Pandemic: Additional Factors That Need To Be Considered,
